REG_ID,BAT_ID,SORTORDER
119,111,429986
119,112,430024
119,187,430062
119,167,430078
119,188,430086
119,189,430104
119,117,430111
119,118,430130
119,120,430146
119,121,430151
119,161,430152
119,162,430163
119,123,430164
119,144,430165
119,114,430817
119,309,430887
119,407,430973
119,170,431227
119,163,431926
119,544,431933
119,113,432150
119,545,432283
119,546,432291
119,122,432762
119,547,434586
119,548,434842
119,406,435280
119,116,435377
119,549,435499
119,550,436350
119,238,437760
121,807,438822
121,552,454044
121,553,454473
121,554,454857
123,109,454947
123,110,456445
123,269,458281
123,118,458306
123,556,458718
123,557,458922
123,558,459080
123,281,459094
123,559,459717
123,560,460459
123,123,460467
123,124,460471
123,561,460474
123,562,460482
123,563,461080
123,564,461341
123,565,461362
123,566,461462
123,567,461466
123,568,461497
123,569,461499
123,570,461519
123,571,461539
123,572,461540
123,573,462026
123,574,462061
123,242,462063
123,575,462076
123,379,462078
123,381,462083
123,380,462084
123,576,462087
123,377,462089
123,577,462097
123,378,462101
123,144,462116
125,109,462122
125,110,463362
90,161,318034
90,162,318571
90,163,319081
90,123,319479
90,124,319710
90,125,320124
90,126,320293
90,127,320313
90,128,320328
90,129,320335
90,130,320365
90,171,320566
90,172,320570
90,173,320572
90,144,320585
92,109,320609
92,110,322156
92,112,323197
92,113,323567
92,443,323814
92,444,324305
92,445,325263
92,369,326018
92,370,327123
92,118,327977
92,120,328098
92,121,328105
92,446,328114
92,447,328265
92,144,328493
92,448,328504
95,109,328541
95,110,330072
95,111,330378
95,451,330408
95,452,331276
95,453,331641
95,454,331650
95,455,332274
95,456,332472
95,457,332474
95,114,332612
95,115,333373
95,116,333787
95,117,334278
95,118,335191
95,120,335765
95,121,335774
95,122,335832
95,161,335835
95,162,335838
95,144,335845
95,458,335869
97,109,335872
97,110,337511
97,111,338761
97,113,338814
97,114,339150
97,115,340349
97,116,341189
97,460,341194
97,170,341200
97,220,341229
97,144,341238
97,112,341254
97,157,341266
97,158,341655
97,226,341659
97,117,341660
97,461,341669
97,462,341670
97,463,341671
97,464,341673
97,465,341674
97,466,341675
97,467,341678
97,468,341679
97,469,341681
97,470,341685
100,144,341686
100,471,341700
100,109,341706
100,110,343190
100,111,343633
100,157,343664
100,158,343686
100,226,343906
100,252,343975
100,159,343982
100,160,344046
100,114,344052
100,115,345195
100,116,346380
100,117,347120
100,118,347127
100,120,347674
100,121,348156
100,472,348161
100,473,348225
102,109,348267
102,110,348904
102,351,350522
102,111,350580
102,114,350626
