ID,Name
688,"14th (Service) (2nd Barnsley) Battalion."
689,"16th (Transport Workers) Battalion."
690,"17th (Labour) Battalion."
691,"96th (T.F.) Depot."
692,"26th (Provisional) Battalion."
693,"27th (Provisional) Battalion."
694,"91st (Training Reserve) Battalion."
695,"11/13th Battalion."
696,"1/8th London Regiment."
698,"3rd (Res.) Garrison Battalion."
700,"4th Battalion"
702,"1/22nd London."
703,"1/24th Battalion."
704,"2/24th Battalion."
705,"51st Y.S. Battalion."
706,"52nd Y.S. Battalion."
707,"53rd Y.S. Battalion."
708,"7th Labour Company."
709,"9th Labour Company."
710,"10th Labour Company."
711,"13th Infantry Labour Company."
712,"14th Labour Company."
713,"15th Labour Company."
714,"16th Labour Company."
715,"17th Labour Company."
716,"19th Labour Company."
717,"20th Labour Company."
718,"22nd Labour Company."
719,"23rd Labour Company."
720,"24th Labour Company."
721,"26th Labour Company."
722,"27th Labour Company."
723,"29th Labour Company."
724,"30th Labour Company."
725,"93rd Labour Company."
726,"125th Labour Company."
727,"128th Labour Company."
728,"2nd Depot Labour Company."
729,"20th Garrison Battalion."
730,"33rd London Regiment."
731,"1/5th London Regiment."
732,"2/5th London Regiment."
734,"2/8th London Regiment."
735,"1/10th London Regiment."
736,"2/10th London Regiment."
737,"1/17th London Regiment."
738,"2/17th London Regiment."
739,"1/28th Regiment."
740,"1/1st King's African Rifles."
741,"2/2nd King's African Rifles."
742,"Fijian Labour Contingent. Attached the Rifle Brigade (Prince Consort's Own)."
743,"Rifle Depot."
744,"18th (London) Battalion. (Territorial)."
745,"19th (Western) Battalion. (Territorial)."
746,"20th (Northern) Battalion (Territorial)."
747,"21st (Midland) Battalion (Territorial)."
748,"22nd (Wessex & Welsh) Battalion (Territorial)."
749,"23rd (North Western) Battalion (Territorial)."
750,"24th (Home Counties) Battalion (Territorial)."
751,"25th (Reserve) Garrison Battalion (Territorial)."
753,"(Infantry)."
754,"Training Reserve Battalions."
755,"(Motor Branch)."
757,"1st (City of London) Battalion (Royal Fusiliers)."
758,"2nd (City of London) Battalion (Royal Fusiliers)."
759,"3rd (City of London) Battalion (Royal Fusiliers)."
760,"4th (City of London) Battalion (Royal Fusiliers)."
761,"29th (City of London) Battalion (Royal Fusiliers)."
762,"30th (City of London) Battalion (Royal Fusiliers)."
765,"6th (City of London) Battalion (Rifles)."
766,"9th (County of London) Battalion (Queen Victoria's Rifles)."
767,"11th (County of London) Battalion (Finsbury Rifles)."
768,"12th (County of London) Battalion (The Rangers)."
769,"13th (County of London) Battalion (Princess Louise's Kensington Battalion)."
770,"15th (County of London) Battalion (P.W.O. Civil Service Rifles)."
771,"16th (County of London) Battalion (Queen's Westminster Rifles)."
772,"31st (County of London) Battalion."
773,"32nd (County of London) Battalion."
774,"34th (County of London) Battalion."
775,"5th (City of London) Battalion (London Rifle Brigade)."
776,"8th (City of London) Battalion (Post Office Rifles)."
777,"10th (County of London) Battalion (Hackney)."
778,"17th (County of London) Battalion (Poplar and Stepney Rifles)."
779,"25th (County of London) Battalion (Cyclists)."
780,"28th (County of London) Battalion (Artists Rifles)."
781,"33rd (City of London) Battalion."
782,"7th (City of London) Battalion."
783,"19th (County of London) Battalion (St. Pancras)."
